2021-04-26 02:47:45: Running ACOLITE
2021-04-26 02:47:45: Launching ACOLITE Python!
2021-04-26 02:47:45: Started ACOLITE Python processing
2021-04-26 02:47:45: Wrote run settings file to m:/000_remsem_op_msi_v03/remsem_op_msi/l2/s2l2_acolite//acolite_run_20210426_024744_settings.txt
2021-04-26 02:47:45: Processing 1 scene...
2021-04-26 02:47:45: Processing scene 1 of 1...
2021-04-26 02:47:45: 2021-04-26 02:47:45 - Processing L1C_T31TFJ_A020726_20210223T103716
2021-04-26 02:47:46: Reading LUT data
2021-04-26 02:47:47: Reading LUTs took 0.8 seconds
2021-04-26 02:47:47: Starting DSF aerosol correction with tiled path reflectance.
2021-04-26 02:47:47: Reading TOA data and performing tiling
2021-04-26 02:47:47: Reading band B1
2021-04-26 02:47:47: Reading band B1 from input bundle: m:/000_remsem_op_msi_v03/remsem_op_msi/l1/s2l1/S2B_MSIL1C_20210223T102929_N0209_R108_T31TFJ_20210223T124328.SAFE
2021-04-26 02:47:49: Writing band B1 to m:/000_remsem_op_msi_v03/remsem_op_msi/l2/s2l2_acolite//S2B_MSI_2021_02_23_10_29_29_T31TFJ_L1R.nc
2021-04-26 02:47:49: Subsetting tile 1 of 784
2021-04-26 02:47:49: Subsetting tile 2 of 784
2021-04-26 02:47:49: Subsetting tile 3 of 784
2021-04-26 02:47:49: Subsetting tile 4 of 784
2021-04-26 02:47:49: Subsetting tile 5 of 784
2021-04-26 02:47:49: Subsetting tile 6 of 784
2021-04-26 02:47:49: Subsetting tile 7 of 784
2021-04-26 02:47:49: Subsetting tile 8 of 784
2021-04-26 02:47:49: Subsetting tile 9 of 784
2021-04-26 02:47:49: Subsetting tile 10 of 784
2021-04-26 02:47:49: Subsetting tile 11 of 784
2021-04-26 02:47:49: Subsetting tile 12 of 784
2021-04-26 02:47:49: Subsetting tile 13 of 784
2021-04-26 02:47:49: Subsetting tile 14 of 784
2021-04-26 02:47:49: Subsetting tile 15 of 784
2021-04-26 02:47:49: Subsetting tile 16 of 784
2021-04-26 02:47:49: Subsetting tile 17 of 784
2021-04-26 02:47:49: Subsetting tile 18 of 784
2021-04-26 02:47:49: Subsetting tile 19 of 784
2021-04-26 02:47:49: Subsetting tile 20 of 784
2021-04-26 02:47:49: Subsetting tile 21 of 784
